place_id,name,address,phone,latitude,longitude,rating,opening_hours
ChIJr2ITZoWpQjQRWLITI7rRu9E,小職人 師大店,106台灣臺北市大安區師大路124號,02 2366 1775,25.0216642,121.5280282,4.5,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00
ChIJrcwNhoWpQjQReWlu-uSuGZE,茶壜 師大店,106台灣臺北市大安區師大路49巷5號,02 2368 8759,25.0243812,121.5289089,4.8,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 休息
ChIJ1zuh6JOpQjQRFTbsUFytju0,龍角 Dragon Horn 台電大樓店,106台灣臺北市大安區羅斯福路三段239號,02 3365 3396,25.019413,121.529901,4.5,星期一: 10:10 – 20:50 | 星期二: 10:10 – 20:50 | 星期三: 10:10 – 20:50 | 星期四: 10:10 – 20:50 | 星期五: 10:10 – 20:50 | 星期六: 11:10 – 20:50 | 星期日: 11:10 – 20:50
ChIJ39xxFqOpQjQRrQuexo65duU,迷客夏臺北師大店,10645台灣臺北市大安區師大路45-2號,02 3365 2558,25.0243684,121.5286511,3.1,星期一: 10:00 – 22:30 | 星期二: 10:00 – 22:30 | 星期三: 10:00 – 22:30 | 星期四: 10:00 – 22:30 | 星期五: 10:00 – 22:30 | 星期六: 10:00 – 22:30 | 星期日: 10:00 – 22:30
ChIJozNWtJ6pQjQRR0zsQUa-H48,珍煮丹 中正南門店,100台灣臺北市中正區羅斯福路一段12號,02 2397 1828,25.0319699,121.5185634,3.4,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00
ChIJExhoS4KpQjQRhkIntwUZwOg,天仁茗茶 永康店,106台灣臺北市大安區永康街10巷1號,02 2356 7656,25.0319901,121.5295568,3.7,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 21:00
ChIJO0ztAMOpQjQRlM6WhkCszfc,進發家 東門永康店,106台灣臺北市大安區永康街6之7號,02 3393 8990,25.0323186,121.5296115,3.2,星期一: 11:00 – 21:30 | 星期二: 休息 | 星期三: 11:00 – 21:30 | 星期四: 15:30 – 21:30 | 星期五: 11:00 – 21:30 | 星期六: 11:00 – 21:30 | 星期日: 11:00 – 21:30
ChIJP_9fO2qpQjQR1oN2d3HogoQ,青山-青茶專業製作 台北永康店,106台灣臺北市大安區永康街2號之3,02 2395 5566,25.0332573,121.529745,4.7,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:30 | 星期六: 10:30 – 22:30 | 星期日: 10:30 – 22:00
ChIJ4_npl76pQjQReIFya8kXfn4,得正#台北古亭計劃,106台灣臺北市大安區和平東路一段19-1號,02 2391 8746,25.0272796,121.5229712,3.6,星期一: 09:30 – 20:00 | 星期二: 09:30 – 20:00 | 星期三: 09:30 – 20:00 | 星期四: 09:30 – 20:00 | 星期五: 09:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00
ChIJj21mffmpQjQRvRhsP61PmE8,清心福全師大店-珍珠奶茶手搖飲料專賣店,106台灣臺北市大安區師大路108號,02 2365 8887,25.0220463,121.5281649,3.7,星期一: 10:00 – 23:00 | 星期二: 10:00 – 23:00 | 星期三: 10:00 – 23:00 | 星期四: 10:00 – 23:00 | 星期五: 10:00 – 23:30 | 星期六: 10:00 – 23:30 | 星期日: 10:00 – 23:00
ChIJ5z65l4KpQjQRw1jyXJXtn5g,CoCo都可 金山店,100台灣臺北市大安區信義路二段91-4號,02 2322 5502,25.034399,121.5271937,3.9,星期一: 10:30 – 21:00 | 星期二: 10:30 – 21:00 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00
ChIJuTF1EUSpQjQRFQb8cundnBE,五桐號WooTea 台北古亭店,106台灣臺北市大安區和平東路一段17號,02 2391 7553,25.0272864,121.5228567,3.1,星期一: 09:30 – 20:30 | 星期二: 09:30 – 20:30 | 星期三: 09:30 – 20:30 | 星期四: 09:30 – 20:30 | 星期五: 09:30 – 20:30 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00
ChIJD0Ibt_epQjQR7Xr3PESN3ig,先喝道台北古亭店,106台灣臺北市大安區和平東路一段27號,02 2391 7323,25.0272703,121.5231632,4,星期一: 09:30 – 20:45 | 星期二: 09:30 – 20:45 | 星期三: 09:30 – 20:45 | 星期四: 09:30 – 20:45 | 星期五: 09:30 – 20:45 | 星期六: 10:30 – 20:45 | 星期日: 10:30 – 20:45
ChIJebeJ5NSpQjQRGeRNhIfuaak,三十未央 | 未央茶專門店 | 師大創始店,106台灣臺北市大安區師大路91號,02 6604 1010,25.0230266,121.528551,4.1,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:30 | 星期六: 11:00 – 22:30 | 星期日: 11:00 – 22:00
ChIJKaJqkO2pQjQRRu4QOdTwmlc,鶴茶樓- 鶴頂紅茶商店(中正寧波西店),100台灣臺北市中正區寧波西街42號,02 2343 5016,25.030854,121.517968,3.6,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00
ChIJ91DXvterQjQRtBAQTuBHmnc,天仁茗茶 信義店,106台灣臺北市大安區信義路二段162號,02 2341 3075,25.0336317,121.5290489,3.5,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 21:00
ChIJZ7OMs4OpQjQRGHS8fryCVxE,喫茶趣ToGo 永康店,106台灣臺北市大安區永康街10巷1號,02 2356 7656,25.0319915,121.5295683,2.8,星期一: 10:30 – 21:00 | 星期二: 10:30 – 21:00 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00
ChIJq6qqqoupQjQRYbGXSz3WNEc,九品川（今天營業到17：20）假日就是要喝九品川壓,106台灣台北市大安区新生南路三段58號58號-1號1號,0968 555 852,25.0203513,121.5337443,4.7,星期一: 10:30 – 17:20 | 星期二: 10:30 – 17:20 | 星期三: 10:30 – 17:20 | 星期四: 10:30 – 17:20 | 星期五: 10:30 – 17:20 | 星期六: 10:30 – 15:30 | 星期日: 10:30 – 15:30
ChIJuc6ei0mpQjQRGZFciyufVUw,go ba! 自然.湉台北古亭九號店,100028台灣臺北市中正區和平西路一段16號,02 2362 0108,25.0267311,121.521433,5,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00
ChIJabxLPACpQjQRNmbvgAAqbdI,北投紅茶,106台灣臺北市大安區師大路39巷臨12號,,25.0245817,121.5289355,3.2,無資訊
ChIJsw0iSwCpQjQRpgnMEDoa3iQ,MUGU牧谷,106台灣臺北市大安區潮州街54號,02 2322 2922,25.02927,121.523393,4.8,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 休息
ChIJe64LLUWpQjQRWS1Skg7Scko,一沐日 台北永康店,106台灣臺北市大安區麗水街8號,02 2395 6787,25.0328384,121.5289766,4.3,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 20:00
ChIJyRzQjoWpQjQRDHBYXyxSVSs,古早茶坊,106台灣臺北市大安區龍泉街40號,02 2363 3362,25.0243764,121.5293689,4.9,星期一: 16:30 – 23:30 | 星期二: 16:30 – 23:30 | 星期三: 16:30 – 23:30 | 星期四: 16:30 – 23:30 | 星期五: 16:30 – 23:30 | 星期六: 16:30 – 23:30 | 星期日: 16:30 – 23:30
ChIJ14nz7JCpQjQRFsJdW7dHnBw,50嵐 同安店,100台灣臺北市中正區同安街32號,02 2365 3381,25.0243088,121.5217755,4,星期一: 10:00 – 22:30 | 星期二: 10:00 – 22:30 | 星期三: 10:00 – 22:30 | 星期四: 10:00 – 22:30 | 星期五: 10:00 – 22:30 | 星期六: 10:00 – 22:30 | 星期日: 10:00 – 22:30
ChIJr66uZgCpQjQR_YTZzAL78CU,TERRY OOLONG ROASTER,106台灣臺北市大安區金華街223 之13號,02 2351 1313,25.0298711,121.5294774,4.3,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00
ChIJB44JRlypQjQRBnIlIbx0oK8,清心福全金山南店-珍珠奶茶手搖飲料專賣店,106台灣臺北市大安區金山南路二段27-1號,02 2394 8058,25.0332462,121.5273051,4.3,星期一: 10:30 – 20:30 | 星期二: 10:30 – 20:30 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:30 | 星期五: 10:30 – 20:30 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 19:00
ChIJhweNbJCpQjQR8axVpDImOcA,沐慕茶飲,100台灣臺北市中正區南昌路二段190-1號,02 2367 6376,25.0243177,121.524002,4.5,星期一: 11:00 – 20:45 | 星期二: 11:00 – 20:45 | 星期三: 11:00 – 20:45 | 星期四: 11:00 – 20:45 | 星期五: 11:00 – 20:45 | 星期六: 12:00 – 20:45 | 星期日: 12:00 – 20:45
ChIJd7XQCDupQjQRtzEQSiAWUNU,季緣 CHI YUAN | 師大店 | Premium Taiwanese Tea,10647台灣臺北市大安區師大路141號,02 2366 0799,25.0214519,121.5280722,4.5,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:30 | 星期六: 11:00 – 22:30 | 星期日: 11:00 – 22:00
ChIJZfjwQIKpQjQRJPgiquiJaJg,康青龍 東門永康店,106台灣臺北市大安區永康街2-7號,0982 076 799,25.0329942,121.5297549,4.2,星期一: 10:30 – 21:00 | 星期二: 10:30 – 21:00 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00
ChIJ8QPDFYKpQjQRA_4pMsCDNEw,SOMA特調飲品 永康旗艦店,106台灣臺北市大安區永康街7巷3號,02 2396 8662,25.0332025,121.530154,4.1,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 21:00
ChIJnWlpY4OpQjQReCYAV36ozGA,谷庄茶奶(普洱茶飲）,106台灣臺北市大安區金華街128號之七,0907 617 335,25.0299642,121.5275981,4.5,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00
ChIJ-6aN6lGpQjQR8cJQedhQgfk,蓋斯茶古亭站,100台灣臺北市中正區和平西路一段12-1號,02 2368 1869,25.0267455,121.5214851,4.8,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 11:30 – 20:00 | 星期日: 休息
ChIJNyZeI5upQjQRmjNcH9N6Z-w,玖仰Jiuyang-永康門市,106台灣臺北市大安區永康街9-1號,02 2358 1613,25.0329427,121.5299258,4.2,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00
ChIJ2QX7OUKpQjQRhEvhk_6fNPg,冇月冇日 冰萃茶茶飲專賣店,106台灣臺北市大安區麗水街9巷10號1樓,02 2322 3006,25.0304626,121.5292115,4.9,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00
ChIJjcd3uoOpQjQRCAXOYiTLqI4,50嵐 永康店,10650台灣臺北市大安區永康街14巷2號,02 2395 2000,25.0312691,121.52938,3.5,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00
ChIJr4nltcKpQjQRu1YVuKgV7ks,日日裝茶 - 中正南門店(線上訂購95折）,100台灣臺北市中正區羅斯福路一段24-1號,02 2726 5828,25.031576,121.5188369,3.7,星期一: 10:00 – 21:30 | 星期二: 10:00 – 21:30 | 星期三: 10:00 – 21:30 | 星期四: 10:00 – 21:30 | 星期五: 10:00 – 21:30 | 星期六: 10:30 – 21:30 | 星期日: 10:30 – 21:30
ChIJt1jYeIWpQjQRbqCnuoM02mc,天下佈武日月潭紅茶,106台灣臺北市大安區師大路50號1 樓,02 2366 1190,25.0246959,121.5282196,3.7,星期一: 08:00 – 23:55 | 星期二: 08:00 – 23:55 | 星期三: 08:00 – 23:55 | 星期四: 08:00 – 23:55 | 星期五: 08:00 – 23:55 | 星期六: 08:00 – 23:55 | 星期日: 08:00 – 23:55
ChIJVUEA1LupQjQRyHta-PK-sKQ,麻古茶坊台北古亭店,100台灣臺北市中正區羅斯福路二段142號1樓,02 2368 2768,25.0257629,121.522959,2.7,星期一: 10:30 – 22:00 | 星期二: 10:30 – 22:00 | 星期三: 10:30 – 22:00 | 星期四: 10:30 – 22:00 | 星期五: 10:30 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00
ChIJsYgvbtCrQjQRUPYEleNGgWA,麗采蝶茶館,106台灣台北市大安区信义路二段198巷40號1樓,02 2395 5060,25.0301992,121.5313022,4.5,星期一: 11:30 – 20:30 | 星期二: 11:30 – 20:30 | 星期三: 11:30 – 20:30 | 星期四: 11:30 – 20:30 | 星期五: 11:30 – 20:30 | 星期六: 11:30 – 20:00 | 星期日: 11:30 – 18:30
ChIJ0TANZoKpQjQRo5NEAdFj46w,喫茶趣ToGo(信義店),106台灣臺北市大安區信義路二段162號,02 2341 3075,25.0336381,121.529066,2.5,星期一: 10:30 – 21:00 | 星期二: 10:30 – 21:00 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00
ChIJfVGWf5CpQjQR-SBl1YCCC3s,北極熊抱,100台灣臺北市中正區南昌路二段181號,02 2364 6272,25.0254174,121.522927,4.4,"星期一: 12:00 – 15:00, 17:30 – 21:30 | 星期二: 12:00 – 15:00, 17:30 – 21:30 | 星期三: 12:00 – 15:00, 17:30 – 21:30 | 星期四: 12:00 – 15:00, 17:30 – 21:30 | 星期五: 12:00 – 15:00, 17:30 – 21:30 | 星期六: 休息 | 星期日: 休息"
ChIJTQ12ytipQjQRVpDwV47FT1E,薈上飲,106台灣臺北市大安區龍泉街38號,02 2368 7788,25.0244297,121.5293407,4.2,星期一: 11:00 – 00:00 | 星期二: 11:00 – 00:00 | 星期三: 11:00 – 00:00 | 星期四: 11:00 – 00:00 | 星期五: 11:00 – 00:00 | 星期六: 11:00 – 00:00 | 星期日: 11:00 – 00:00
ChIJmYy2WX2pQjQRq1Jmh1lfEsI,牧方MooCubed x 師大,106台灣臺北市大安區師大路143號,02 2367 6711,25.0214322,121.5280517,3.9,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 23:00 | 星期四: 11:00 – 23:00 | 星期五: 11:00 – 23:00 | 星期六: 11:00 – 23:00 | 星期日: 11:00 – 22:00
